param1,param3,param11,param12,param13,param14,param15,param16,param17,param18,param21,external_id
229503128,1473,11527,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,229503128
229503713,1135,9865,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,229503713
229505392,1222,10778,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229505392
229505457,1072,19928,21000.00,393.41,84,13.45,15.60,37.13,33416.04,430.54,229505457
229506232,2246,2754,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229506232
229506275,1721,5279,7000.00,131.14,84,13.45,15.60,12.38,11138.96,143.52,229506275
229506976,1459,48541,50000.00,936.67,84,13.45,15.60,88.41,79560.28,1025.08,229506976
229507212,1462,10538,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229507212
229507328,1784,8216,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,229507328
229507611,1006,11994,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,229507611
229508421,2438,32562,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,229508421
229509215,2080,2920,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229509215
229509916,4161,30839,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,229509916
229510981,1395,8605,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,229510981
229512062,4174,45826,50000.00,936.67,84,13.45,15.60,88.41,79560.28,1025.08,229512062
229512470,4276,724,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229512470
229512720,1475,28525,30000.00,562.01,84,13.45,15.60,53.05,47736.84,615.06,229512720
229513522,1592,27408,29000.00,543.27,84,13.45,15.60,51.28,46145.08,594.55,229513522
229513565,1438,12562,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,229513565
229514057,1492,8508,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,229514057
229514294,2852,32148,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,229514294
229514545,1771,16229,18000.00,337.21,84,13.45,15.60,31.83,28642.44,369.04,229514545
229516220,1487,7513,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,229516220
229516645,1037,16963,18000.00,337.21,84,13.45,15.60,31.83,28642.44,369.04,229516645
229517250,1325,10675,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229517250
229517471,1613,7387,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,229517471
229518699,1320,13680,15000.00,281.01,84,13.45,15.60,26.52,23868.84,307.53,229518699
229519083,1501,8499,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,229519083
229521037,1825,18175,20000.00,374.67,84,13.45,15.60,35.37,31824.28,410.04,229521037
229521088,1644,6356,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,229521088
229521240,1173,10827,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229521240
229521410,1525,10475,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229521410
229521711,1015,10985,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229521711
229522262,1274,4726,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,229522262
229522270,1164,12836,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,229522270
229522521,1686,11314,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,229522521
229522785,1613,9387,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,229522785
229522890,5892,29108,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,229522890
229523331,1863,18137,20000.00,374.67,84,13.45,15.60,35.37,31824.28,410.04,229523331
229523595,1218,6782,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,229523595
229523811,1570,26430,28000.00,524.54,84,13.45,15.60,49.51,44554.16,574.05,229523811
229524516,4371,629,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229524516
229524770,1670,22330,24000.00,449.61,84,13.45,15.60,42.44,38189.64,492.05,229524770
229526080,1559,27441,29000.00,543.27,84,13.45,15.60,51.28,46145.08,594.55,229526080
229526403,1194,10806,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229526403
229526632,1271,7729,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,229526632
229527086,2508,2492,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229527086
229527094,5414,29586,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,229527094
229529127,1029,12971,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,229529127
229529461,1229,3771,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229529461
229529992,1459,5541,7000.00,131.14,84,13.45,15.60,12.38,11138.96,143.52,229529992
229530060,5210,34790,40000.00,749.34,84,13.45,15.60,70.73,63648.56,820.07,229530060
229531610,1612,18388,20000.00,374.67,84,13.45,15.60,35.37,31824.28,410.04,229531610
229533345,1533,21467,23000.00,430.87,84,13.45,15.60,40.67,36597.88,471.54,229533345
229533418,1531,23469,25000.00,468.34,84,13.45,15.60,44.21,39780.56,512.55,229533418
229534511,1735,24265,26000.00,487.07,84,13.45,15.60,45.97,41371.48,533.04,229534511
229535178,2967,32033,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,229535178
229536468,2711,2289,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229536468
229537022,1725,10275,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229537022
229537065,1037,9963,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,229537065
229537529,2742,2258,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229537529
229538240,1280,7720,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,229538240
229538673,1995,10005,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229538673
229538940,1485,21515,23000.00,430.87,84,13.45,15.60,40.67,36597.88,471.54,229538940
229695582,1507,3493,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229695582
229695868,1645,19355,21000.00,393.41,84,13.45,15.60,37.13,33416.04,430.54,229695868
229696287,1229,8771,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,229696287
229696295,1349,12651,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,229696295
229696465,1608,16392,18000.00,337.21,84,13.45,15.60,31.83,28642.44,369.04,229696465
229696481,1723,19277,21000.00,393.41,84,13.45,15.60,37.13,33416.04,430.54,229696481
229696880,1885,19115,21000.00,393.41,84,13.45,15.60,37.13,33416.04,430.54,229696880
229697429,1305,15695,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,229697429
229697518,1530,25470,27000.00,505.81,84,13.45,15.60,47.74,42963.24,553.55,229697518
229697550,1980,7020,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,229697550
229697593,4223,30777,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,229697593
229697704,5698,39302,45000.00,843.01,84,13.45,15.60,79.57,71604.84,922.58,229697704
229698093,1735,19265,21000.00,393.41,84,13.45,15.60,37.13,33416.04,430.54,229698093
229698190,1560,11440,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,229698190
229698280,1734,25266,27000.00,505.81,84,13.45,15.60,47.74,42963.24,553.55,229698280
229699332,1138,9862,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,229699332
229699723,1052,3948,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229699723
229699863,1122,24878,26000.00,487.07,84,13.45,15.60,45.97,41371.48,533.04,229699863
229699910,1312,11688,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,229699910
229700551,2312,2688,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229700551
229700659,3547,1453,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229700659
229701752,1212,25788,27000.00,505.81,84,13.45,15.60,47.74,42963.24,553.55,229701752
229701787,1324,5676,7000.00,131.14,84,13.45,15.60,12.38,11138.96,143.52,229701787
229702317,1897,8103,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,229702317
229704409,1209,12791,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,229704409
229704530,1616,15384,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,229704530
229705065,1752,10248,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,229705065
229705529,3420,1580,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,229705529
145068064,1428,17572,19000.00,355.94,84,13.45,15.60,33.60,30233.36,389.54,145068064
145070166,1640,11360,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145070166
145072240,1292,12708,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,145072240
145073955,1466,3534,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145073955
145078779,3985,31015,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145078779
145079600,3794,31206,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145079600
145079821,1658,7342,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,145079821
145082164,1208,11792,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145082164
145083624,3111,1889,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145083624
145084426,1806,13194,15000.00,281.01,84,13.45,15.60,26.52,23868.84,307.53,145084426
145084795,1729,18271,20000.00,374.67,84,13.45,15.60,35.37,31824.28,410.04,145084795
145087484,1364,20636,22000.00,412.14,84,13.45,15.60,38.90,35006.96,451.04,145087484
145089363,1677,7323,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,145089363
145092178,4167,833,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145092178
145092186,1132,4868,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145092186
145093948,1954,3046,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145093948
145096068,1034,3966,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145096068
