IdCampanha,iTipoCampanha,Envios,DataInicio
2406,iXS_PMS,8102,20221108
2424,iXS_PMS,1734,20221117
2435,iXS_PCDPM_1T,17979,20221206
2436,iXS_RUC_1T,17987,20221207
2437,iXS_PMS,6875,20221207
2471,iXS_PMS,2954,20221230
2473,iXS_PCDPM_1T,27967,20230104
2474,iXS_RUC_1T,23982,20230104
2503,iXS_PMS,1724,20230125
2521,iXS_PMS,295,20230213
2522,iXS_PMS,1255,20230213
2525,iXS_CCR_SMSA,10179,20230214
2526,iXS_CCR_SMSA,5770,20230214
2550,iXS_PCDPM_1T,6495,20230213
2552,iXS_RUC_1T,13989,20230307
2558,iXS_PCDPM_1T,6573,20230307
2561,iXS_PMS,1809,20230307
2562,iXS_PMS,3104,20230307
2577,iXS_RUC_1T,9486,20230212
2593,iXS_PCD_Auto,1259,20230321
2594,iXS_PCD_Auto,293,20230321
2595,iXS_PCD_Auto,2450,20230321
2598,iXS_PCDPM_1T,2,20230402
2599,iXS_CCR_SMSA,9068,20230307
2600,iXS_CCR_SMSA,5525,20230307
2638,iXS_PCDPM_1T,2,20230418
2639,iXS_CCR_SMSA,9584,20230411
2640,iXS_CCR_SMSA,5447,20230411
2641,iXS_PCDPM_1T,2501,20230426
2644,iXS_RUC_1T,12449,20230405
2645,iXS_PCDPM_1T,6001,20230405
2647,iXS_PMS,4001,20230411
2650,iXS_RUC_1T,2501,20230401
2657,iXS_PCDPM_1T,2500,20230515
2664,iXS_CCR_SMSA,5378,20230523
2667,iXS_PCDPM_1T,7497,20230605
2668,iXS_PCDPM_1T,7499,20230605
2699,iXS_PMS,1494,20230615
2700,iXS_PMS,980,20230615
2705,iXS_CCR_SMSA,7929,20230606
2706,iXS_CCR_SMSA,4552,20230606
2719,iXS_RUC_1T,2000,20230621
2720,iXS_RUC_1T,2000,20230621
2721,iXS_RUC_1T,2500,20230621
2722,iXS_RUC_1T,2500,20230621
2728,iXS_CCR_SMSA,5495,20230711
2746,iXS_PCDPM_1T,2501,20230710
2752,iXS_RUC_1T,10001,20230718
2753,iXS_CCR_SMSA,9162,20230717
2754,iXS_RUC_1T,9766,20230719
2755,iXS_RUC_1T,5000,20230719
2756,iXS_RUC_1T,5000,20230719
2757,iXS_PCDPM_1T,5001,20230720
2759,iXS_PCDPM_1T,4920,20230721
2760,iXS_PCDPM_1T,2449,20230724
2761,iXS_PCDPM_1T,4900,20230725
2763,iXS_PMS,411,20230725
2764,iXS_PMS,383,20230725
2766,iXS_PCDPM_1T,2444,20230726
2771,iXS_PCDPM_1T,29273,20230803
2775,iXS_RUC_1T,11558,20230807
2776,iXS_RUC_1T,275,20230807
2778,iXS_PMS,723,20230808
2779,iXS_PMS,268,20230808
2781,iXS_CCR_SMSA,7933,20230809
2782,iXS_CCR_SMSA,4596,20230809
2801,iXS_PCDPM_1T,29814,20230905
2803,iXS_RUC_1T,4977,20230906
2804,iXS_RUC_1T,22,20230906
2807,iXS_CCR_SMSA,12091,20230907
2808,iXS_CCR_SMSA,6823,20230907
2822,iXS_RUC_1T,9954,20230913
2823,iXS_RUC_1T,9956,20230913
2828,iXS_PMS,530,20230914
2829,iXS_PMS,453,20230914
2838,iXS_Terminados_NPA_1T,123697,20230927
2839,iXS_Terminados_NPA_1T,101482,20230904
2842,iXS_PCDPM_1T,20001,20231009
2856,iXS_CCR_SMSA,8588,20231010
2857,iXS_CCR_SMSA,4479,20231010
2883,iXS_Terminados_NPA_1T,17309,20231009
2885,iXS_PCDPM_1T,17502,20231106
2889,iXS_PMS,552,20231107
2890,iXS_PMS,912,20231107
2892,iXS_CCR_SMSA,5553,20231107
2893,iXS_CCR_SMSA,9612,20231107
2910,iXS_Terminados_NPA_1T,132297,20231108
2917,iXS_PCDPM_1T,2500,20231113
2918,iXS_PCDPM_1T,2500,20231114
2919,iXS_PCDPM_1T,2500,20231114
2921,iXS_RUC_1T,69,20231115
2922,iXS_RUC_1T,2000,20231115
2923,iXS_RUC_1T,2000,20231115
