IdMes,TipoMKT,N_Pedidos,N_Aberturas,Financiamentos
202301,Captação,16195.0000,2117.0000,11311500.0000
202301,Outras XS,3126.0000,1355.0000,8796000.0000
202302,Captação,15453.0000,2263.0000,11204000.0000
202302,Outras XS,2841.0000,1232.0000,8169500.0000
202303,Captação,18785.0000,2643.0000,13926000.0000
202303,Outras XS,3177.0000,1336.0000,8847000.0000
202304,Captação,12510.0000,1738.0000,9193500.0000
202304,Outras XS,2088.0000,894.0000,6065250.0000
202305,Captação,11987.0000,1688.0000,8595500.0000
202305,Outras XS,1361.0000,644.0000,4883000.0000
202306,Captação,11114.0000,1881.0000,9770750.0000
202306,Outras XS,1603.0000,664.0000,4595250.0000
202307,Captação,13449.0000,2024.0000,9559000.0000
202307,Outras XS,2327.0000,844.0000,5313250.0000
202308,Captação,15423.0000,2048.0000,9234400.0000
202308,Outras XS,2652.0000,1157.0000,7375000.0000
202309,Captação,16633.0000,1994.0000,9513500.0000
202309,Outras XS,3185.0000,1096.0000,6792500.0000
202310,Captação,17279.0000,2238.0000,10627750.0000
202310,Outras XS,2734.0000,1129.0000,7432000.0000
202311,Captação,14076.0000,1924.0000,9624000.0000
202311,Outras XS,2887.0000,1098.0000,7165250.0000
202312,Captação,12951.0000,1565.0000,6983250.0000
202312,Outras XS,2749.0000,919.0000,5917700.0000
202401,Captação,17842.0000,1885.0000,8904750.0000
202401,Outras XS,328.0000,227.0000,1708000.0000
202401,XS,3161.0000,1013.0000,6370750.0000
202402,Captação,15248.0000,1791.0000,8419500.0000
202402,Outras XS,393.0000,145.0000,1323000.0000
202402,XS,3991.0000,1321.0000,7646750.0000
202403,Captação,14983.0000,1596.0000,6994400.0000
202403,Outras XS,301.0000,102.0000,896500.0000
202403,XS,3746.0000,1413.0000,7882500.0000
202404,Captação,15524.0000,1573.0000,6780750.0000
202404,Outras XS,177.0000,53.0000,651250.0000
202404,XS,4366.0000,1409.0000,7437500.0000
202405,Captação,15978.0000,1510.0000,7393100.0000
202405,Outras XS,98.0000,45.0000,731000.0000
202405,XS,5984.0000,1759.0000,9795950.0000
202406,Captação,15096.0000,1263.0000,5839000.0000
202406,Outras XS,65.0000,26.0000,466000.0000
202406,XS,3619.0000,1227.0000,6604400.0000
202407,Captação,15497.0000,1323.0000,7118250.0000
202407,Outras XS,68.0000,31.0000,655500.0000
202407,XS,5058.0000,1319.0000,8011350.0000
202408,Captação,16678.0000,1509.0000,8096000.0000
202408,Outras XS,55.0000,22.0000,430000.0000
202408,XS,5502.0000,1589.0000,9562650.0000
202409,Captação,18559.0000,1916.0000,10176250.0000
202409,Outras XS,71.0000,26.0000,553250.0000
202409,XS,4948.0000,1785.0000,10911500.0000
202410,Captação,18373.0000,1622.0000,10203750.0000
202410,Outras XS,77.0000,40.0000,832500.0000
202410,XS,4886.0000,1474.0000,9604250.0000
202411,Captação,16709.0000,1345.0000,8498750.0000
202411,Outras XS,171.0000,67.0000,1164750.0000
202411,XS,4443.0000,1140.0000,7609580.0000
202412,Captação,14334.0000,1248.0000,7155950.0000
202412,Outras XS,150.0000,73.0000,1054500.0000
202412,XS,3734.0000,1081.0000,7304500.0000
202501,Captação,19139.0000,1556.0000,9448850.0000
202501,Outras XS,189.0000,75.0000,925500.0000
202501,XS,4931.0000,1375.0000,9359500.0000
202502,Captação,16750.0000,1445.0000,8508500.0000
202502,Outras XS,193.0000,80.0000,1263500.0000
202502,XS,4514.0000,1351.0000,9147250.0000
202503,Captação,18511.0000,1667.0000,9881500.0000
202503,Outras XS,126.0000,47.0000,838250.0000
202503,XS,4896.0000,1339.0000,9538000.0000
202504,Captação,18427.0000,1673.0000,9380500.0000
202504,Outras XS,210.0000,59.0000,1220000.0000
202504,XS,4627.0000,1515.0000,9935000.0000
202505,Captação,18584.0000,1705.0000,9514750.0000
202505,Outras XS,271.0000,74.0000,1179750.0000
202505,XS,4676.0000,1394.0000,9290050.0000
202506,Captação,16723.0000,1608.0000,9261100.0000
202506,Outras XS,239.0000,81.0000,1469500.0000
202506,XS,4241.0000,1359.0000,9229750.0000
202507,Captação,19550.0000,2086.0000,11600000.0000
202507,Outras XS,205.0000,95.0000,1765750.0000
202507,XS,4748.0000,1589.0000,10761550.0000
202508,Captação,17805.0000,1842.0000,10351750.0000
202508,Outras XS,208.0000,70.0000,1392750.0000
202508,XS,4434.0000,1436.0000,9989000.0000
202509,Captação,19214.0000,2016.0000,11888000.0000
202509,Outras XS,362.0000,61.0000,1032000.0000
202509,XS,4310.0000,1358.0000,9553250.0000
202510,Captação,19887.0000,2014.0000,11172250.0000
202510,Outras XS,734.0000,144.0000,1941750.0000
202510,XS,4858.0000,1594.0000,10897300.0000
202511,Captação,17260.0000,1673.0000,9769700.0000
202511,Outras XS,668.0000,141.0000,2001500.0000
202511,XS,4832.0000,1608.0000,10940250.0000
202512,Captação,12418.0000,1308.0000,7935500.0000
202512,Outras XS,568.0000,116.0000,1344950.0000
202512,XS,4492.0000,1610.0000,10151000.0000
202601,Captação,19527.0000,1597.0000,9301500.0000
202601,Outras XS,603.0000,120.0000,1762750.0000
202601,XS,5672.0000,1663.0000,11214700.0000
202602,Captação,14850.0000,1417.0000,7319600.0000
202602,Outras XS,460.0000,119.0000,1805250.0000
202602,XS,4621.0000,1404.0000,9209900.0000
