IdCampanha,DataInicio,iTipoCampanha,Envios,QtdPedidos_N,QtdAberturas_N,Montante_N,QtdPedidos_N1,QtdAberturas_N1,Montante_N1,QtdPedidos_N2,QtdAberturas_N2,Montante_N2,QtdPedidos_N3,QtdAberturas_N3,Montante_N3,QtdPedidos_N4,QtdAberturas_N4,Montante_N4
2406,2022-11-08,iXS_PMS,8102,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2424,2022-11-17,iXS_PMS,1734,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2435,2022-12-06,iXS_PCDPM_1T,17979,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2436,2022-12-07,iXS_RUC_1T,17987,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2437,2022-12-07,iXS_PMS,6875,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2471,2022-12-30,iXS_PMS,2954,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2473,2023-01-04,iXS_PCDPM_1T,27967,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2474,2023-01-04,iXS_RUC_1T,23982,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2503,2023-01-25,iXS_PMS,1724,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2521,2023-02-13,iXS_PMS,295,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2522,2023-02-13,iXS_PMS,1255,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2525,2023-02-14,iXS_CCR_SMSA,10179,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2526,2023-02-14,iXS_CCR_SMSA,5770,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2550,2023-02-13,iXS_PCDPM_1T,6495,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2552,2023-03-07,iXS_RUC_1T,13989,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2558,2023-03-07,iXS_PCDPM_1T,6573,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2561,2023-03-07,iXS_PMS,1809,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2562,2023-03-07,iXS_PMS,3104,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2577,2023-02-12,iXS_RUC_1T,9486,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2593,2023-03-21,iXS_PCD_Auto,1259,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2594,2023-03-21,iXS_PCD_Auto,293,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2595,2023-03-21,iXS_PCD_Auto,2450,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2598,2023-04-02,iXS_PCDPM_1T,2,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2599,2023-03-07,iXS_CCR_SMSA,9068,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2600,2023-03-07,iXS_CCR_SMSA,5525,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2638,2023-04-18,iXS_PCDPM_1T,2,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2639,2023-04-11,iXS_CCR_SMSA,9584,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2640,2023-04-11,iXS_CCR_SMSA,5447,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2641,2023-04-26,iXS_PCDPM_1T,2501,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2644,2023-04-05,iXS_RUC_1T,12449,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2645,2023-04-05,iXS_PCDPM_1T,6001,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2647,2023-04-11,iXS_PMS,4001,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2650,2023-04-01,iXS_RUC_1T,2501,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2657,2023-05-15,iXS_PCDPM_1T,2500,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2664,2023-05-23,iXS_CCR_SMSA,5378,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2667,2023-06-05,iXS_PCDPM_1T,7497,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2668,2023-06-05,iXS_PCDPM_1T,7499,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2699,2023-06-15,iXS_PMS,1494,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2700,2023-06-15,iXS_PMS,980,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
2705,2023-06-06,iXS_CCR_SMSA,7929,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000
